"Subject","Body","From: (Name)","From: (Address)","From: (Type)","To: (Name)","To: (Address)","To: (Type)","CC: (Name)","CC: (Address)","CC: (Type)","BCC: (Name)","BCC: (Address)","BCC: (Type)","Billing Information","Categories","Importance","Mileage","Sensitivity"
"ATHENIA: intrusion On Channel D3 ","This is an automatically generated e-mail from your NVR.

EVENT TYPE:    intrusion
EVENT TIME:    2024-04-24,15:22:12
NVR NAME:      ATHENIA
NVR S/N:       1620230818CCRRAF3215194WCVU
CAMERA NAME(NUM):   Nav Bridge Stbd(D3)  
","ATHENIA","v.sight@io3.sg","SMTP","athcctv;Terence Yow","/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=8d7d27f017d14eb8a01ba718af68825b-athcctv@ken;ty@io3.sg","EX;SMTP",,,,,,,,,"Normal",,"Normal"
"ATHENIA: intrusion On Channel D4 ","This is an automatically generated e-mail from your NVR.

EVENT TYPE:    intrusion
EVENT TIME:    2024-04-24,15:09:15
NVR NAME:      ATHENIA
NVR S/N:       1620230818CCRRAF3215194WCVU
CAMERA NAME(NUM):   AFT(D4)  
","ATHENIA","v.sight@io3.sg","SMTP","athcctv;Terence Yow","/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=8d7d27f017d14eb8a01ba718af68825b-athcctv@ken;ty@io3.sg","EX;SMTP",,,,,,,,,"Normal",,"Normal"
"ATHENIA: intrusion On Channel D3 ","This is an automatically generated e-mail from your NVR.

EVENT TYPE:    intrusion
EVENT TIME:    2024-04-24,14:41:17
NVR NAME:      ATHENIA
NVR S/N:       1620230818CCRRAF3215194WCVU
CAMERA NAME(NUM):   Nav Bridge Stbd(D3)  
","ATHENIA","v.sight@io3.sg","SMTP","athcctv;Terence Yow","/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=8d7d27f017d14eb8a01ba718af68825b-athcctv@ken;ty@io3.sg","EX;SMTP",,,,,,,,,"Normal",,"Normal"
"ATHENIA: intrusion On Channel D4 ","This is an automatically generated e-mail from your NVR.

EVENT TYPE:    intrusion
EVENT TIME:    2024-04-24,14:34:50
NVR NAME:      ATHENIA
NVR S/N:       1620230818CCRRAF3215194WCVU
CAMERA NAME(NUM):   AFT(D4)  
","ATHENIA","v.sight@io3.sg","SMTP","athcctv;Terence Yow","/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=8d7d27f017d14eb8a01ba718af68825b-athcctv@ken;ty@io3.sg","EX;SMTP",,,,,,,,,"Normal",,"Normal"
"ATHENIA: intrusion On Channel D3 ","This is an automatically generated e-mail from your NVR.

EVENT TYPE:    intrusion
EVENT TIME:    2024-04-24,13:56:51
NVR NAME:      ATHENIA
NVR S/N:       1620230818CCRRAF3215194WCVU
CAMERA NAME(NUM):   Nav Bridge Stbd(D3)  
","ATHENIA","v.sight@io3.sg","SMTP","athcctv;Terence Yow","/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=8d7d27f017d14eb8a01ba718af68825b-athcctv@ken;ty@io3.sg","EX;SMTP",,,,,,,,,"Normal",,"Normal"
"ATHENIA: intrusion On Channel D3 ","This is an automatically generated e-mail from your NVR.

EVENT TYPE:    intrusion
EVENT TIME:    2024-04-24,13:56:43
NVR NAME:      ATHENIA
NVR S/N:       1620230818CCRRAF3215194WCVU
CAMERA NAME(NUM):   Nav Bridge Stbd(D3)  
","ATHENIA","v.sight@io3.sg","SMTP","athcctv;Terence Yow","/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=8d7d27f017d14eb8a01ba718af68825b-athcctv@ken;ty@io3.sg","EX;SMTP",,,,,,,,,"Normal",,"Normal"
"ATHENIA: intrusion On Channel D3 ","This is an automatically generated e-mail from your NVR.

EVENT TYPE:    intrusion
EVENT TIME:    2024-04-24,13:52:21
NVR NAME:      ATHENIA
NVR S/N:       1620230818CCRRAF3215194WCVU
CAMERA NAME(NUM):   Nav Bridge Stbd(D3)  
","ATHENIA","v.sight@io3.sg","SMTP","athcctv;Terence Yow","/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=8d7d27f017d14eb8a01ba718af68825b-athcctv@ken;ty@io3.sg","EX;SMTP",,,,,,,,,"Normal",,"Normal"
"ATHENIA: intrusion On Channel D4 ","This is an automatically generated e-mail from your NVR.

EVENT TYPE:    intrusion
EVENT TIME:    2024-04-24,13:37:57
NVR NAME:      ATHENIA
NVR S/N:       1620230818CCRRAF3215194WCVU
CAMERA NAME(NUM):   AFT(D4)  
","ATHENIA","v.sight@io3.sg","SMTP","athcctv;Terence Yow","/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=8d7d27f017d14eb8a01ba718af68825b-athcctv@ken;ty@io3.sg","EX;SMTP",,,,,,,,,"Normal",,"Normal"
"ATHENIA: intrusion On Channel D4 ","This is an automatically generated e-mail from your NVR.

EVENT TYPE:    intrusion
EVENT TIME:    2024-04-24,13:23:00
NVR NAME:      ATHENIA
NVR S/N:       1620230818CCRRAF3215194WCVU
CAMERA NAME(NUM):   AFT(D4)  
","ATHENIA","v.sight@io3.sg","SMTP","athcctv;Terence Yow","/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=8d7d27f017d14eb8a01ba718af68825b-athcctv@ken;ty@io3.sg","EX;SMTP",,,,,,,,,"Normal",,"Normal"
"ATHENIA: intrusion On Channel D4 ","This is an automatically generated e-mail from your NVR.

EVENT TYPE:    intrusion
EVENT TIME:    2024-04-24,13:22:43
NVR NAME:      ATHENIA
NVR S/N:       1620230818CCRRAF3215194WCVU
CAMERA NAME(NUM):   AFT(D4)  
","ATHENIA","v.sight@io3.sg","SMTP","athcctv;Terence Yow","/o=ExchangeLabs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Recipients/cn=8d7d27f017d14eb8a01ba718af68825b-athcctv@ken;ty@io3.sg","EX;SMTP",,,,,,,,,"Normal",,"Normal"
